coin,ticker,id,market_cap_m,volume_m,vol_mcap_pct,change_24h_pct,change_7d_pct,btc_rel_7d_pct,rsi_1h,rsi_4h,rsi_1d,rsi_1w,rsi_1m,rsi_3m,weighted_rsi,downside_beta,btc_down_day_rel_pct,resilience_score,true_breakout,breakout_tf,breakout_exchange,breakout_pct,breakout_volume_ratio,resistance,score,signal,error
Starknet,STRK,starknet,362.247168,160.899685,44.41709948716562,10.65278,70.7,65.8,62.864007999746455,73.32790821901608,80.16204279679903,55.85570926956773,21.433866146815674,,55.94887541000475,1.4924642906561962,-0.06561097369037443,3.667986282887032,False,,,,,,80.69498021738917,💪 RELATIVE-STRENGTH LEADER,
Sonic,S,sonic-3,150.98732,76.521922,50.68102540001372,17.91748,44.3,39.4,58.7886679077499,72.5783582592469,71.75967090571044,45.82968467698593,61.06168487852196,,60.27370193425643,1.312883809169174,-0.05651579771280187,3.679355252858998,False,,,,,,79.7061893824436,💪 RELATIVE-STRENGTH LEADER,
Sei,SEI,sei-network,387.276498,110.485536,28.528851239508988,20.25657,22.2,17.299999999999997,82.11069656860404,82.99633245890561,73.4014879430967,42.88940280743915,,,63.01302727466648,1.1976344164828843,-0.06884352686363022,3.6639455914204624,True,1D,okx,3.210210790949519,2.6245516765400025,0.05171,77.72250893757504,🚀 TRUE BREAKOUT,
Optimism,OP,optimism,293.790756,104.022149,35.406882917718484,4.53776,32.2,27.300000000000004,57.90584059371621,68.31786137457804,69.94953942568142,48.08880544531938,21.406990142296934,,50.02573180258641,1.4646224526543261,-0.10608638355689241,3.6173920205538845,False,,,,,,77.51673133171778,💪 RELATIVE-STRENGTH LEADER,
Arweave,AR,arweave,315.150276,61.865539,19.630488599032674,14.32014,66.4,61.50000000000001,59.904313813473884,77.13865140454516,83.55344485362605,72.84529055832184,20.650681408684264,,62.20153590396341,1.4688211736113115,-0.01374015933194036,3.7328248008350746,False,,,,,,73.70737794356788,🟢 MOMENTUM CONFIRMED,
Plasma,XPL,plasma,262.68101,74.286858,28.280254442450943,4.37482,20.3,15.4,61.593773336774035,61.23538609091596,57.27925456758235,22.47425751812753,,,43.796070948297746,1.5731046970444513,-0.15229589289537496,3.559630133880781,False,,,,,,73.63280928184022,💪 RELATIVE-STRENGTH LEADER,
Kamino,KMNO,kamino,182.710048,35.576871,19.47176490260678,18.48683,35.9,31.0,67.44998041618821,73.42069853605393,77.47758000395537,63.08843010828422,59.335068764334714,,67.31150769392985,0.5555777558323265,0.0960345728355742,7.203210047302019,False,,,,,,73.35660113633698,🟢 MOMENTUM CONFIRMED,
DGrid AI,DGAI,dgrid-ai,143.493649,125.877489,87.72338697721736,0.02868,26.2,21.299999999999997,52.72935108533566,71.73205514817069,61.40984529452667,,,,63.11897750854053,2.1278449857509125,-0.18949479082137616,3.5131315114732797,False,,,,,,73.28827163263004,💪 RELATIVE-STRENGTH LEADER,
Horizen,ZEN,zencash,144.344045,31.327979,21.70368649430602,3.20556,22.5,17.6,53.90250284016523,57.80075656927896,65.49330203338565,53.4132546024011,,,58.21195809368926,1.5922892671009308,-0.155752378431818,3.5553095269602277,False,,,,,,72.70012953195307,💪 RELATIVE-STRENGTH LEADER,
First Digital USD,FDUSD,first-digital-usd,324.754064,146.390237,45.07726098848758,0.02066,0.1,-4.800000000000001,,,61.093294917728834,,,,61.093294917728834,0.009146941237354449,0.23865919182849732,11.479721930505463,False,,,,,,72.25839921752748,🟢 MOMENTUM CONFIRMED,
Lido DAO,LDO,lido-dao,359.948982,58.524035,16.258980557416887,4.99278,17.6,12.700000000000001,58.83690145493417,70.86795748215444,66.52356551190337,54.20874068590085,24.04635427341597,,52.11851243687654,1.4243711970856763,-0.10614173369227732,3.6173228328846534,False,,,,,,70.89292370818754,🟢 MOMENTUM CONFIRMED,
Artificial Superintelligence Alliance,FET,fetch-ai,419.688936,121.703698,28.998548105637934,6.73607,6.0,1.0999999999999996,60.49156742420795,59.40410090486947,59.3406005214664,48.098951159489054,34.00020701819717,,49.5723596993779,1.4462783422944459,-0.1527128139109144,3.559108982611357,False,,,,,,70.26594490015037,🟢 MOMENTUM CONFIRMED,
Pendle,PENDLE,pendle,472.207973,75.910615,16.075674139453806,5.44287,24.2,19.299999999999997,55.52148180147817,61.461617479251245,74.40109809820221,67.37249923326672,59.636795543735914,,65.71617421837917,1.401020820109889,-0.12230011989439525,3.597124850132006,False,,,,,,70.21268352158829,🟢 MOMENTUM CONFIRMED,
Fartcoin,FARTCOIN,fartcoin,172.813921,38.264684,22.142130552086712,7.80447,20.0,15.1,59.56459570419258,64.09500122003925,55.73252652130724,46.03192953639886,12.161845471444352,,43.093233362329485,2.091440829851209,-0.2473811441505015,3.440773569811873,False,,,,,,69.5802622589035,💪 RELATIVE-STRENGTH LEADER,
Mina Protocol,MINA,mina-protocol,165.204938,26.324026,15.934164147078944,21.72409,43.0,38.1,70.75376609006744,69.19698674869147,77.7239738227957,75.58837032881095,33.689041542026516,,64.54635329317463,1.1456556517062597,0.06319385697362194,3.8289923212170276,True,4H,kraken,1.9064664228464645,3.0372134808830937,0.12851,68.53261801282792,🚀 TRUE BREAKOUT,
STONK,STONK,stonk-3,296.617274,44.347294,14.951015293869904,35.71013,65.1,60.199999999999996,,,69.28673862499755,,,,69.28673862499755,3.5111580591826472,0.5103375395236642,4.38792192440458,False,,,,,,68.26912659009064,🟢 MOMENTUM CONFIRMED,
THORChain,RUNE,thorchain,187.583501,36.367229,19.387221587254626,6.32081,10.5,5.6,63.7129227089159,70.17099383895683,72.96249291273628,58.267083589949465,52.60956337434284,,62.35490959280583,1.1971040463721594,-0.006406437974764455,3.7419919525315444,False,,,,,,67.46261632939624,🟢 MOMENTUM CONFIRMED,
Backpack,BP,backpack,231.130438,28.08159,12.149671952769804,49.83798,83.0,78.1,,,76.60942828377325,,,,76.60942828377325,0.4708087673897152,0.16473615673739486,7.92485444049888,False,,,,,,65.48360668918582,🟢 MOMENTUM CONFIRMED,
LayerZero,ZRO,layerzero,413.186672,50.664421,12.26187203831202,7.91147,12.3,7.4,57.79632301494707,62.038254242956064,61.723459502943456,50.07918421511857,29.470127331720136,,49.81519374469415,1.2174044628313956,-0.04644074888355392,3.6919490638955574,False,,,,,,65.28972226816393,🟢 MOMENTUM CONFIRMED,
dogwifhat,WIF,dogwifcoin,202.900647,71.662389,35.318955390023966,1.34227,6.3,1.3999999999999995,50.767877994281555,54.20010760202202,55.16348639802793,49.489286472584155,17.70536742954023,,43.63062130446993,1.6255885836575434,-0.12318003453347871,3.5960249568331517,False,,,,,,64.62207454384463,🟢 MOMENTUM CONFIRMED,
ZKsync,ZK,zksync,125.060304,20.03311,16.018760037557563,2.2185,25.2,20.299999999999997,62.23797874775776,67.96523279868995,70.1253481045357,45.038558925679474,15.473746195789289,,47.85985101092718,1.3250921221018621,-0.05530228822888269,3.680872139713897,False,,,,,,64.29899611340991,🟢 MOMENTUM CONFIRMED,
1INCH,1INCH,1inch,141.754412,23.55611,16.617549794499517,4.65659,8.1,3.1999999999999993,63.5692524258625,70.9415383846562,65.48782216478229,53.32188783712582,23.455973296561865,,51.73980938913628,1.1970570328374077,-0.02761004240831537,3.7154874469896058,False,,,,,,63.269377569350695,🟢 MOMENTUM CONFIRMED,
Genius,GENIUS,genius-3,,,,,,,,,,,,,,,,,,,,,,,0.0,⚪ DATA ERROR,exceptions must derive from BaseException
Zama,ZAMA,zama,,,,,,,,,,,,,,,,,,,,,,,0.0,⚪ DATA ERROR,exceptions must derive from BaseException
